,Func 1,Func 2,Func 3,Func 4,Func 5,Func 6,Func 7,Func 8,Func 9,Func 10
108,-0.014901134588227515,-0.01526424188024109,-0.01565544768581422,-0.01597610128718183,-0.01633267325061918,-0.01640076954050115,-0.016056051750468293,-0.015758291894762556,-0.015386859094812348,-0.015152671127948884
109,-0.014542325398742992,-0.014935601360565424,-0.015371827072096061,-0.015745785122078502,-0.016208903761647762,-0.01642701077195946,-0.016223503147251874,-0.01598648713056427,-0.015668648196836978,-0.015460716018433096
110,-0.014161216181652565,-0.014579289887237215,-0.015054023601366642,-0.015475222674222962,-0.016036740649608805,-0.016400769540501632,-0.016342292327946813,-0.01617029122698127,-0.015911478854889485,-0.01573317763585236
111,-0.013762576048007555,-0.014200193263831038,-0.014706839943152797,-0.015168846006619708,-0.01581929666883293,-0.016322546473821874,-0.016410206720153035,-0.0163064085733517,-0.016111230649551268,-0.01596560479141829
112,-0.013350951536874682,-0.01380309720467,-0.014335166006294633,-0.014831390458994079,-0.01556036090840145,-0.016193819765968908,-0.01642595951054298,-0.016392324612825575,-0.016264367099931308,-0.016154008034652268
113,-0.012930581526248153,-0.013392574753596745,-0.013943836577727005,-0.014467732556725406,-0.015264241880241074,-0.016016976179804243,-0.01638924993982365,-0.016426419420855532,-0.01636808566315301,-0.016295021100184964
114,-0.012505337066736682,-0.012972898664213094,-0.013537510400937473,-0.014082741319718525,-0.014935601360565438,-0.01579520266311535,-0.01630077754978243,-0.01640804307402486,-0.016420442594870847,-0.016386045657519013
115,-0.012078684390267028,-0.012547978797369469,-0.01312057371299672,-0.013681149368141554,-0.014579289887237161,-0.015532347550644695,-0.016162209135985345,-0.016337546367437124,-0.016420442594871,-0.016425368235124544
116,-0.01165366825387819,-0.012121322926214562,-0.012697068994737177,-0.013267447704767753,-0.014200193263831104,-0.015232762212293279,-0.015976101287182642,-0.016216264201139897,-0.01636808566315312,-0.016412239756069306
117,-0.011232912179014443,-0.011696018194907556,-0.012270647848854645,-0.012845805680187672,-0.013803097204669993,-0.014901134588227382,-0.015745785122079036,-0.01604645308863404,-0.01626436709993129,-0.016346910907955356
118,-0.010818631961630219,-0.01127472983123762,-0.01184454559336544,-0.012420015643784239,-0.013392574753596715,-0.01454232539874355,-0.015475222674223294,-0.015831188171648372,-0.01611123064955116,-0.016230620265551606
119,-0.010412658956967288,-0.010859713491066743,-0.011421574343868403,-0.011993460272549925,-0.01297289866421313,-0.014161216181652343,-0.015168846006620471,-0.015574228323474947,-0.015911478854889114,-0.0160655362055154
120,-0.01001646998201382,-0.010452837714512239,-0.011004130998148363,-0.011569099580428894,-0.012547978797369495,-0.01376257604800809,-0.014831390458994594,-0.015279860000314033,-0.0156686481968372,-0.0158546576292884
